snapshot_time_utc,model_version,calibration_method,Date,Season,HomeTeam,AwayTeam,home_win_probability,draw_probability,away_win_probability,favorite,favorite_probability
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-05,2026/27,Tottenham,Arsenal,0.21437418460845947,0.3084430396556854,0.4771827757358551,A,0.4771827757358551
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-12,2026/27,Arsenal,Bournemouth,0.46497341990470886,0.1689615547657013,0.36606499552726746,H,0.46497341990470886
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-12,2026/27,Brighton,Everton,0.6446238160133362,0.14209145307540894,0.21328476071357727,H,0.6446238160133362
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-12,2026/27,Coventry,Aston Villa,0.5453709959983826,0.23136965930461884,0.2232593446969986,H,0.5453709959983826
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-12,2026/27,Crystal Palace,Man United,0.22222109138965607,0.20300467312335968,0.5747742056846619,A,0.5747742056846619
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-12,2026/27,Fulham,Brentford,0.3771904408931732,0.17405901849269867,0.4487505555152893,A,0.4487505555152893
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-12,2026/27,Hull,Tottenham,0.43390849232673645,0.2955285608768463,0.27056294679641724,H,0.43390849232673645
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-12,2026/27,Ipswich,Newcastle,0.4747437536716461,0.25282609462738037,0.2724301517009735,H,0.4747437536716461
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-12,2026/27,Liverpool,Leeds,0.5644249320030212,0.2042352557182312,0.23133984208106995,H,0.5644249320030212
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-12,2026/27,Man City,Chelsea,0.5232556462287903,0.16699008643627167,0.30975428223609924,H,0.5232556462287903
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-12,2026/27,Sunderland,Nott'm Forest,0.3893691301345825,0.20472164452075958,0.4059092700481415,A,0.4059092700481415
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-19,2026/27,Brighton,Ipswich,0.7424476146697998,0.11269304901361465,0.14485935866832733,H,0.7424476146697998
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-19,2026/27,Arsenal,Man United,0.4782787263393402,0.14090082049369812,0.38082048296928406,H,0.4782787263393402
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-19,2026/27,Bournemouth,Coventry,0.6390669345855713,0.16317777335643768,0.19775526225566864,H,0.6390669345855713
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-19,2026/27,Brentford,Newcastle,0.7418001890182495,0.11518377810716629,0.14301607012748718,H,0.7418001890182495
