match_id,season,date,team,formation,manager,source,source_collected_at
2425_20241103_tottenham_aston_villa,2425,2024-11-03,Tottenham,,,fbref_soccerdata,2024-11-04
2425_20241103_tottenham_aston_villa,2425,2024-11-03,Aston Villa,,,fbref_soccerdata,2024-11-04
2425_20241104_fulham_brentford,2425,2024-11-04,Fulham,,,fbref_soccerdata,2024-11-05
2425_20241104_fulham_brentford,2425,2024-11-04,Brentford,,,fbref_soccerdata,2024-11-05
2425_20241109_brentford_bournemouth,2425,2024-11-09,Brentford,,,fbref_soccerdata,2024-11-10
2425_20241109_brentford_bournemouth,2425,2024-11-09,Bournemouth,,,fbref_soccerdata,2024-11-10
2425_20241109_brighton_man_city,2425,2024-11-09,Brighton,,,fbref_soccerdata,2024-11-10
2425_20241109_brighton_man_city,2425,2024-11-09,Man City,,,fbref_soccerdata,2024-11-10
2425_20241109_crystal_palace_fulham,2425,2024-11-09,Crystal Palace,,,fbref_soccerdata,2024-11-10
2425_20241109_crystal_palace_fulham,2425,2024-11-09,Fulham,,,fbref_soccerdata,2024-11-10
2425_20241109_liverpool_aston_villa,2425,2024-11-09,Liverpool,,,fbref_soccerdata,2024-11-10
2425_20241109_liverpool_aston_villa,2425,2024-11-09,Aston Villa,,,fbref_soccerdata,2024-11-10
2425_20241109_west_ham_everton,2425,2024-11-09,West Ham,,,fbref_soccerdata,2024-11-10
2425_20241109_west_ham_everton,2425,2024-11-09,Everton,,,fbref_soccerdata,2024-11-10
2425_20241109_wolves_southampton,2425,2024-11-09,Wolves,,,fbref_soccerdata,2024-11-10
2425_20241109_wolves_southampton,2425,2024-11-09,Southampton,,,fbref_soccerdata,2024-11-10
2425_20241110_chelsea_arsenal,2425,2024-11-10,Chelsea,,,fbref_soccerdata,2024-11-11
2425_20241110_chelsea_arsenal,2425,2024-11-10,Arsenal,,,fbref_soccerdata,2024-11-11
2425_20241110_man_united_leicester,2425,2024-11-10,Man United,,,fbref_soccerdata,2024-11-11
2425_20241110_man_united_leicester,2425,2024-11-10,Leicester,,,fbref_soccerdata,2024-11-11
2425_20241110_nottm_forest_newcastle,2425,2024-11-10,Nott'm Forest,,,fbref_soccerdata,2024-11-11
2425_20241110_nottm_forest_newcastle,2425,2024-11-10,Newcastle,,,fbref_soccerdata,2024-11-11
2425_20241110_tottenham_ipswich,2425,2024-11-10,Tottenham,,,fbref_soccerdata,2024-11-11
2425_20241110_tottenham_ipswich,2425,2024-11-10,Ipswich,,,fbref_soccerdata,2024-11-11
2425_20241123_arsenal_nottm_forest,2425,2024-11-23,Arsenal,,,fbref_soccerdata,2024-11-24
2425_20241123_arsenal_nottm_forest,2425,2024-11-23,Nott'm Forest,,,fbref_soccerdata,2024-11-24
2425_20241123_aston_villa_crystal_palace,2425,2024-11-23,Aston Villa,,,fbref_soccerdata,2024-11-24
2425_20241123_aston_villa_crystal_palace,2425,2024-11-23,Crystal Palace,,,fbref_soccerdata,2024-11-24
2425_20241123_bournemouth_brighton,2425,2024-11-23,Bournemouth,,,fbref_soccerdata,2024-11-24
2425_20241123_bournemouth_brighton,2425,2024-11-23,Brighton,,,fbref_soccerdata,2024-11-24
2425_20241123_everton_brentford,2425,2024-11-23,Everton,,,fbref_soccerdata,2024-11-24
2425_20241123_everton_brentford,2425,2024-11-23,Brentford,,,fbref_soccerdata,2024-11-24
2425_20241123_fulham_wolves,2425,2024-11-23,Fulham,,,fbref_soccerdata,2024-11-24
2425_20241123_fulham_wolves,2425,2024-11-23,Wolves,,,fbref_soccerdata,2024-11-24
2425_20241123_leicester_chelsea,2425,2024-11-23,Leicester,,,fbref_soccerdata,2024-11-24
2425_20241123_leicester_chelsea,2425,2024-11-23,Chelsea,,,fbref_soccerdata,2024-11-24
2425_20241123_man_city_tottenham,2425,2024-11-23,Man City,,,fbref_soccerdata,2024-11-24
2425_20241123_man_city_tottenham,2425,2024-11-23,Tottenham,,,fbref_soccerdata,2024-11-24
2425_20241124_ipswich_man_united,2425,2024-11-24,Ipswich,,,fbref_soccerdata,2024-11-25
2425_20241124_ipswich_man_united,2425,2024-11-24,Man United,,,fbref_soccerdata,2024-11-25
2425_20241124_southampton_liverpool,2425,2024-11-24,Southampton,,,fbref_soccerdata,2024-11-25
2425_20241124_southampton_liverpool,2425,2024-11-24,Liverpool,,,fbref_soccerdata,2024-11-25
2425_20241125_newcastle_west_ham,2425,2024-11-25,Newcastle,,,fbref_soccerdata,2024-11-26
2425_20241125_newcastle_west_ham,2425,2024-11-25,West Ham,,,fbref_soccerdata,2024-11-26
2425_20241129_brighton_southampton,2425,2024-11-29,Brighton,,,fbref_soccerdata,2024-11-30
2425_20241129_brighton_southampton,2425,2024-11-29,Southampton,,,fbref_soccerdata,2024-11-30
2425_20241130_brentford_leicester,2425,2024-11-30,Brentford,,,fbref_soccerdata,2024-12-01
2425_20241130_brentford_leicester,2425,2024-11-30,Leicester,,,fbref_soccerdata,2024-12-01
2425_20241130_crystal_palace_newcastle,2425,2024-11-30,Crystal Palace,,,fbref_soccerdata,2024-12-01
2425_20241130_crystal_palace_newcastle,2425,2024-11-30,Newcastle,,,fbref_soccerdata,2024-12-01
2425_20241130_nottm_forest_ipswich,2425,2024-11-30,Nott'm Forest,,,fbref_soccerdata,2024-12-01
2425_20241130_nottm_forest_ipswich,2425,2024-11-30,Ipswich,,,fbref_soccerdata,2024-12-01
2425_20241130_west_ham_arsenal,2425,2024-11-30,West Ham,,,fbref_soccerdata,2024-12-01
2425_20241130_west_ham_arsenal,2425,2024-11-30,Arsenal,,,fbref_soccerdata,2024-12-01
2425_20241130_wolves_bournemouth,2425,2024-11-30,Wolves,,,fbref_soccerdata,2024-12-01
2425_20241130_wolves_bournemouth,2425,2024-11-30,Bournemouth,,,fbref_soccerdata,2024-12-01
2425_20241201_chelsea_aston_villa,2425,2024-12-01,Chelsea,,,fbref_soccerdata,2024-12-02
2425_20241201_chelsea_aston_villa,2425,2024-12-01,Aston Villa,,,fbref_soccerdata,2024-12-02
2425_20241201_liverpool_man_city,2425,2024-12-01,Liverpool,,,fbref_soccerdata,2024-12-02
2425_20241201_liverpool_man_city,2425,2024-12-01,Man City,,,fbref_soccerdata,2024-12-02
2425_20241201_man_united_everton,2425,2024-12-01,Man United,,,fbref_soccerdata,2024-12-02
2425_20241201_man_united_everton,2425,2024-12-01,Everton,,,fbref_soccerdata,2024-12-02
