Date,Season,HomeTeam,AwayTeam,home_win_probability,draw_probability,away_win_probability,model_variant
2022-03-06,2122,Watford,Arsenal,0.2689497470855713,0.4560149312019348,0.2750352919101715,current_plus_elo
2022-03-06,2122,Man City,Man United,0.42390552163124084,0.260877400636673,0.3152170777320862,current_plus_elo
2022-03-07,2122,Tottenham,Everton,0.5377699732780457,0.12358497828245163,0.3386450707912445,current_plus_elo
2022-03-10,2122,Norwich,Chelsea,0.11761677265167236,0.04510590806603432,0.837277352809906,current_plus_elo
2022-03-10,2122,Southampton,Newcastle,0.27530819177627563,0.2749514579772949,0.44974038004875183,current_plus_elo
2022-03-10,2122,Wolves,Watford,0.29444265365600586,0.2879602611064911,0.41759705543518066,current_plus_elo
2022-03-10,2122,Leeds,Aston Villa,0.677647054195404,0.16807781159877777,0.15427513420581818,current_plus_elo
2022-03-12,2122,Brentford,Burnley,0.2677145302295685,0.38349419832229614,0.3487912714481354,current_plus_elo
2022-03-12,2122,Man United,Tottenham,0.2939154803752899,0.0890129953622818,0.6170715093612671,current_plus_elo
2022-03-12,2122,Brighton,Liverpool,0.11129981279373169,0.32207125425338745,0.5666289329528809,current_plus_elo
2022-03-13,2122,Chelsea,Newcastle,0.6013404726982117,0.23071293532848358,0.16794656217098236,current_plus_elo
2022-03-13,2122,Everton,Wolves,0.5573914051055908,0.255592942237854,0.18701566755771637,current_plus_elo
2022-03-13,2122,Leeds,Norwich,0.502681314945221,0.27424031496047974,0.2230784296989441,current_plus_elo
2022-03-13,2122,Southampton,Watford,0.2736184895038605,0.20879784226417542,0.5175836682319641,current_plus_elo
2022-03-13,2122,West Ham,Aston Villa,0.6827532052993774,0.1895328313112259,0.12771399319171906,current_plus_elo
2022-03-13,2122,Arsenal,Leicester,0.3221541941165924,0.2045937478542328,0.4732520282268524,current_plus_elo
2022-03-14,2122,Crystal Palace,Man City,0.1440446674823761,0.28320854902267456,0.5727468132972717,current_plus_elo
2022-03-16,2122,Brighton,Tottenham,0.37873104214668274,0.2131308913230896,0.40813806653022766,current_plus_elo
2022-03-16,2122,Arsenal,Liverpool,0.34972596168518066,0.28145816922187805,0.3688158690929413,current_plus_elo
2022-03-17,2122,Everton,Newcastle,0.355074942111969,0.2856523394584656,0.35927268862724304,current_plus_elo
2022-03-18,2122,Wolves,Leeds,0.14351895451545715,0.6422203183174133,0.21426072716712952,current_plus_elo
2022-03-19,2122,Aston Villa,Arsenal,0.161213219165802,0.4562642574310303,0.3825225830078125,current_plus_elo
2022-03-20,2122,Leicester,Brentford,0.4991631507873535,0.16620907187461853,0.33462777733802795,current_plus_elo
2022-03-20,2122,Tottenham,West Ham,0.35189205408096313,0.19349656999111176,0.4546113908290863,current_plus_elo
2022-04-02,2122,Liverpool,Watford,0.631418764591217,0.22207869589328766,0.1465025544166565,current_plus_elo
2022-04-02,2122,Brighton,Norwich,0.6914220452308655,0.11903933435678482,0.18953868746757507,current_plus_elo
2022-04-02,2122,Man United,Leicester,0.22003941237926483,0.13554386794567108,0.6444166898727417,current_plus_elo
2022-04-02,2122,Burnley,Man City,0.10600365698337555,0.20605334639549255,0.6879429817199707,current_plus_elo
2022-04-02,2122,Leeds,Southampton,0.45331069827079773,0.28279784321784973,0.26389145851135254,current_plus_elo
2022-04-02,2122,Wolves,Aston Villa,0.4760638177394867,0.2793954014778137,0.24454078078269958,current_plus_elo
2022-04-02,2122,Chelsea,Brentford,0.7054036259651184,0.15281254053115845,0.14178381860256195,current_plus_elo
2022-04-03,2122,West Ham,Everton,0.6349416971206665,0.16195371747016907,0.20310461521148682,current_plus_elo
2022-04-03,2122,Tottenham,Newcastle,0.5502030253410339,0.17458415031433105,0.275212824344635,current_plus_elo
2022-04-04,2122,Crystal Palace,Arsenal,0.15270482003688812,0.7028200626373291,0.14447513222694397,current_plus_elo
